id_cliente,nome,cpf,cidade,estado,renda_anual
160,Dra. Maria Isis Brito,784.301.592-23,Camargo,PI,300363.89
161,Valentim Farias,314.865.790-00,Caldeira de Cassiano,MA,298424.39
162,Bernardo Pinto,407.956.832-00,Leão do Oeste,AM,435480.88
163,Ravi Lucca Duarte,130.456.827-07,Santos do Oeste,SC,283859.68
164,Davi Silva,934.157.826-46,Cardoso,DF,462722.86
165,Dr. Antony Barbosa,014.372.856-35,Cavalcante de Minas,AM,55563.71
166,Bárbara Machado,961.354.820-33,Rezende de Fonseca,PE,365185.45
167,Lucas Fogaça,056.137.842-80,Caldeira da Prata,CE,314409.24
168,Maria Flor Pinto,671.403.852-62,Moreira da Praia,TO,401758.55
169,Isis Martins,985.630.427-00,Ribeiro,BA,100633.48
170,Emanuella Lopes,954.167.820-30,Mendes,DF,117339.04
171,Sr. Otto Teixeira,750.296.348-00,da Cunha da Serra,PI,304967.27
172,Vinicius Farias,074.169.582-02,da Luz,BA,312204.69
173,Sr. Ravy Sampaio,412.063.578-35,Ferreira,SP,484174.25
174,Miguel Peixoto,490.238.571-60,Duarte de Azevedo,ES,95091.8
175,Maria Pereira,261.839.470-40,Pacheco da Mata,MG,97535.67
176,Luiz Felipe Gonçalves,582.031.749-14,Câmara do Galho,PA,400795.11
177,Gabriela Carvalho,784.193.625-73,Moraes,SE,403585.53
178,Pietra Vieira,317.528.609-77,Dias,RJ,440363.87
179,João Gabriel Alves,216.578.903-68,Fogaça de Silva,PA,446061.1
180,Eloá Cavalcanti,542.763.810-53,Rodrigues de Viana,PB,445052.1
181,Dr. João Guilherme Sampaio,346.051.729-80,das Neves de Minas,RO,168861.48
182,Kaique Rodrigues,760.493.258-47,Teixeira de Aragão,RS,344654.45
183,Davi Mendonça,653.142.078-26,Ferreira de Goiás,SE,307410.46
184,Srta. Mirella Sales,641.023.875-44,Leão das Pedras,RS,262870.98
185,Dr. José Barbosa,951.348.027-50,Sá Paulista,AC,127489.88
186,Lucca Aparecida,092.638.741-31,Caldeira de Porto,AC,231338.28
187,Maria Sophia Sá,406.298.715-58,Fogaça Grande,CE,328210.02
188,Cecilia Araújo,184.693.502-42,da Mota,BA,356365.79
189,Ana Liz Sousa,032.465.719-61,Albuquerque Alegre,RR,230773.95
190,Guilherme Nascimento,840.796.231-78,Guerra,PI,228106.73
191,Ayla Pires,475.982.016-76,Azevedo do Sul,RR,445530.93
192,Benicio Pimenta,924.571.603-16,Machado,PE,360731.19
193,Pedro Lucas Duarte,046.178.395-93,Novaes dos Dourados,DF,72180.94
194,Arthur Miguel Mendonça,405.678.921-58,Monteiro do Oeste,AL,263848.19
195,Raquel Pereira,523.670.849-47,Silva,AL,170862.96
196,Catarina Melo,156.498.027-85,Gonçalves,SP,217598.31
197,Mathias Sampaio,130.895.427-14,Cavalcanti de Marques,GO,202039.74
198,Nicole Viana,395.174.206-25,Mendonça Alegre,SC,407143.43
199,Samuel Andrade,641.203.758-62,Silveira,RJ,189927.18
200,Camila Gomes,294.351.068-89,Sales de Alves,GO,429280.96
201,Marcos Vinicius Martins,697.132.850-77,Mendonça,RS,436205.65
202,Dom Correia,651.784.230-62,Barbosa da Serra,RS,358183.41
203,Heitor Novaes,796.453.081-00,Novais,BA,487623.49
204,Asafe Carvalho,647.352.980-29,Jesus da Prata,AP,152580.84
205,João Miguel Ferreira,435.926.810-60,Peixoto do Galho,BA,185216.2
206,Sr. Josué Pimenta,961.750.483-93,Farias,AP,384675.64
207,Ana Carolina Aragão,937.682.451-28,Machado da Mata,AP,398313.91
208,Gabrielly da Mota,864.591.302-05,Pires de Souza,ES,194390.74
209,Maria Eduarda Pires,461.590.372-34,Pereira de Sá,AL,377959.74
210,Samuel Caldeira,269.135.087-86,Aparecida,MT,322240.61
211,Luiza da Cunha,390.158.427-79,Pimenta,PE,90179.08
212,Vitor Hugo Mendes,298.756.401-58,Andrade de da Mata,TO,248772.47
213,João Guilherme Cirino,718.942.056-85,Rezende,RN,461044.76
214,Maria Fernanda Alves,745.209.613-43,Marques,SC,233226.66
215,Antônio Guerra,960.438.251-98,da Rosa,BA,268007.15
216,Sr. Matheus da Paz,416.327.958-09,Cassiano,RJ,282425.64
217,Enzo Gabriel Barbosa,496.037.521-34,Santos de Almeida,SE,218259.59
218,Dr. Bryan Moreira,052.179.386-68,Lopes,TO,75292.62
219,Sara Macedo,167.892.305-21,Jesus de Pimenta,DF,406170.68
220,Emanuelly Fernandes,391.760.425-61,da Costa,RS,79527.64
221,Raquel Teixeira,092.146.387-13,Costa Grande,RS,369306.23
222,Igor Cavalcante,067.129.485-76,Moura,PE,231523.31
223,Sr. Dom Jesus,459.671.320-07,Oliveira da Praia,DF,401232.39
224,Maria Helena Pinto,869.470.123-50,Nogueira,SE,285928.8
225,Kamilly Ramos,531.862.740-44,das Neves do Campo,MA,305902.53
226,Caroline Pacheco,457.932.816-73,Machado,MG,128181.81
227,Laura Souza,690.283.157-21,Peixoto,SC,443831.25
228,Rafael Caldeira,912.457.603-43,Gomes de Peixoto,RR,140327.05
229,Melissa Aparecida,720.894.653-10,Oliveira da Serra,BA,75932.38
230,Maria Júlia Costa,645.732.018-07,Barbosa,AL,64881.97
231,Bernardo Montenegro,604.271.395-70,Cunha Verde,RN,72751.68
232,Ana Beatriz Macedo,391.574.082-97,Sousa de Cirino,AM,212168.79
233,Maria Sophia Rios,263.754.198-91,Macedo da Mata,MA,139599.4
234,Maria Cecília Carvalho,405.986.371-84,Novais,TO,215758.37
235,Maria Helena Barros,169.507.384-39,Leão,TO,258898.31
236,Théo Fogaça,204.968.731-13,Mendes,SE,228624.02
237,Maria Cecília Nogueira,314.968.725-09,Camargo Verde,ES,465383.11
238,Mariane Pastor,170.256.384-71,Jesus dos Dourados,MS,356528.46
239,Letícia Siqueira,436.129.750-99,Aparecida do Galho,GO,158872.14
240,Letícia Souza,879.631.250-59,da Cruz do Norte,ES,269954.03
241,Srta. Lunna Mendes,764.891.035-75,Rodrigues,PR,250746.54
242,João Pedro Novais,160.382.549-51,Costa,PR,482234.17
243,Miguel Novais,430.628.957-56,Macedo,MG,263562.03
244,Calebe Pimenta,136.745.290-25,Caldeira,RS,298100.17
245,Luísa Gonçalves,346.270.915-16,Brito das Flores,DF,204912.05
246,Juan Silveira,618.053.729-12,Aragão do Amparo,MA,426944.2
247,Valentina Fogaça,190.453.267-52,Cirino da Prata,AM,166396.97
248,Rafaela Pereira,285.763.491-91,Jesus de Câmara,AM,423891.59
249,Gael Henrique Araújo,285.167.309-21,Cavalcanti,RO,90676.36
250,Sr. Calebe Fogaça,247.513.690-16,da Cunha dos Dourados,MA,62352.72
251,Nicolas Peixoto,562.917.048-11,da Rosa Grande,RJ,72342.97
252,Sra. Ana Vitória Castro,830.512.497-50,da Paz,PE,434219.6
253,Daniela Sá,418.902.756-11,Oliveira da Prata,RS,400923.56
254,Ana Julia Porto,162.897.043-03,Cavalcante,AL,146443.36
255,Heloisa Silva,941.638.752-55,Melo,MA,149607.98
256,Bárbara Carvalho,802.643.957-00,da Luz,RJ,151300.42
257,Liam Cardoso,182.695.437-64,Martins Paulista,RS,143028.94
258,Carolina Jesus,287.139.460-13,Caldeira do Campo,CE,343214.3
259,Fernando Vasconcelos,784.051.236-44,Albuquerque,BA,280976.56
260,Levi Ferreira,312.978.065-30,Gomes da Serra,RN,439083.47
261,Sr. Henry Gabriel da Costa,518.649.207-85,Casa Grande do Galho,PE,485212.26
262,Luna Viana,036.987.541-93,Cunha,PR,356989.88
263,Ana Carolina Rios,743.962.085-29,Monteiro dos Dourados,SE,263343.74
264,Valentim Lopes,345.927.608-83,Porto da Serra,PB,109541.34
265,Maria Alice Vasconcelos,497.608.315-20,Silva,PB,127940.3
266,Mirella Gonçalves,895.134.067-84,das Neves,DF,410389.16
267,Antony da Cunha,265.307.419-25,Andrade,AM,150696.51
268,Mariah Gomes,459.631.280-05,Pereira,AP,323754.75
269,Davi Miguel Santos,478.651.329-64,Nunes Grande,DF,474352.24
270,Sr. Bento Sampaio,741.562.098-49,Cunha de Pimenta,MG,370733.22
271,Rhavi Martins,036.417.895-75,Silveira,PR,369215.69
272,Srta. Lívia Albuquerque,453.802.796-00,Monteiro do Oeste,RS,173920.35
273,Ísis Sousa,937.815.406-93,Mendes de Câmara,GO,452967.34
274,Davi Rios,132.698.507-86,Ramos das Pedras,PA,433213.78
275,Mariana da Conceição,703.491.582-23,Barbosa,PI,256549.11
276,Sr. Gustavo Henrique Leão,036.291.578-40,Cirino Verde,RR,148194.07
277,Thomas Câmara,821.437.950-41,Rocha,AC,185965.29
278,Caleb Caldeira,451.376.802-90,Alves de Nunes,SC,284287.05
279,Noah Ribeiro,306.487.219-22,Aragão,RJ,330622.74
280,José Pedro Pimenta,916.374.085-01,Moraes,ES,313019.22
281,Dr. Cauê Pereira,049.635.278-47,da Luz,BA,53306.41
282,André Brito,026.834.157-53,Rezende do Sul,SP,499743.22
283,Marcela Albuquerque,794.315.026-07,da Mata da Prata,RJ,484918.45
284,Isabela Viana,180.693.452-33,da Cunha de Vieira,RR,427720.29
285,Arthur Sales,354.092.681-05,Mendes,DF,302655.7
286,Marina Oliveira,965.348.201-70,Gomes,MA,317197.64
287,Pedro da Paz,438.061.529-42,Nascimento,SE,177204.6
288,Sr. Matteo Fogaça,640.729.138-04,Pacheco,PE,357985.91
289,Valentina Lopes,842.563.701-53,Santos do Norte,SP,266782.29
290,Lara Gonçalves,068.513.294-33,Dias,MA,201327.64
291,Otávio Alves,214.538.096-51,Oliveira,CE,174417.46
292,Manuella da Mota,715.248.039-79,Cunha,SP,196311.68
293,Enrico Ferreira,479.612.305-99,Silveira,BA,174598.22
294,José Miguel da Rocha,765.840.312-17,Sales,CE,345253.82
295,Bella Peixoto,590.328.716-68,Brito dos Dourados,AM,478484.51
296,Maria Júlia Montenegro,938.275.160-21,Correia do Campo,RO,343159.91
297,Sr. Enzo Barbosa,925.061.438-15,Nascimento,BA,134762.04
298,Cauê Caldeira,921.750.468-85,da Rocha,SP,282782.11
299,Srta. Kamilly Sá,046.387.951-10,Pimenta,BA,158135.93
300,Nicolas Caldeira,427.103.698-69,Novaes da Serra,AC,75548.6
301,Sabrina Cirino,407.398.152-88,Cirino de Pacheco,RR,435791.91
302,Ísis Gonçalves,716.495.280-94,da Conceição,ES,414513.04
303,Maria Fernanda Moura,627.514.389-46,Mendes de Minas,SE,231844.29
304,Dr. Enzo Gabriel Casa Grande,923.546.701-25,Freitas de Minas,RR,193813.58
305,Maysa das Neves,736.091.482-50,Porto,ES,112968.28
306,Lorena Cardoso,327.096.418-87,Carvalho,CE,61454.87
307,Alexia Nogueira,927.065.148-76,Leão,BA,273817.77
308,Sra. Elisa Mendes,487.102.635-35,Silva,PB,183022.08
309,Guilherme Pacheco,039.658.172-21,Mendonça,GO,458110.2
310,Cecília Freitas,150.682.479-01,Rios,PI,232069.5
311,Sr. Kaique Cavalcanti,583.702.964-83,Cassiano,AL,381529.44
312,Ravi Lucca Santos,047.698.523-47,das Neves de Garcia,RR,312360.67
313,Cecília Araújo,510.984.267-11,da Cunha,MS,497639.18
314,Dr. Breno Gonçalves,138.726.405-26,da Mata,RR,417206.62
315,Henrique Souza,078.129.346-40,Vieira,SC,204425.17
316,Sr. Paulo Nunes,496.801.327-22,Teixeira,BA,371016.18
317,João Pedro Lopes,364.829.501-24,Barbosa,SE,358843.15
318,Guilherme Abreu,357.642.091-61,da Mota,TO,337241.12
319,Henrique da Rocha,397.421.506-99,Oliveira do Galho,DF,264080.84
320,Brenda Castro,138.420.596-98,Pinto de Minas,SP,473300.58
321,Ravy Sales,293.514.768-55,Farias da Praia,RO,211323.71
322,Calebe da Luz,291.376.805-95,da Cruz,MG,185087.67
323,Gustavo Azevedo,473.951.608-00,Moreira,SP,126494.0
324,Luan Aparecida,807.135.469-48,Rocha,AP,345926.61
325,Isabela Nogueira,897.015.236-95,Borges de Minas,RO,301211.62
326,Dr. Leandro Cavalcante,902.716.354-52,Aragão,PA,182202.82
327,Brayan Fonseca,854.361.729-46,Silva,PI,261851.39
328,Isabela Fogaça,580.214.379-79,Casa Grande das Pedras,PI,383413.5
329,Ana Cecília Souza,458.690.317-10,Gonçalves,DF,376333.99
330,Esther Novais,316.247.509-07,da Rocha,PI,301564.25
331,Sofia da Costa,120.587.493-32,da Paz do Norte,AL,460681.14
332,Luiz Gustavo Lopes,541.293.786-19,Leão,RR,476115.52
333,Gabriel Siqueira,104.896.573-20,Gomes,AM,454816.02
334,Guilherme Aragão,428.367.519-91,Ferreira de Cunha,MA,344495.59
335,Luiza Cirino,645.012.389-33,da Rosa de Carvalho,RR,150014.08
336,José Pedro Sousa,916.023.854-24,Duarte,BA,150497.57
337,Pedro Lucas Azevedo,875.236.401-17,Casa Grande,PA,442144.5
338,Amanda da Mata,628.710.934-31,Vieira de Rodrigues,GO,239212.66
339,Brenda da Mata,520.189.673-12,Casa Grande,AM,449079.6
340,Srta. Natália Ferreira,973.254.860-65,da Mata,SP,217257.09
341,Ana Beatriz da Paz,527.631.408-07,Santos,SP,313506.81
342,Manuella Dias,240.971.385-88,da Cunha dos Dourados,PB,258692.28
343,Allana Cavalcanti,278.015.943-04,Gomes,SE,103001.66
344,Josué Azevedo,140.359.276-43,Ferreira das Pedras,RR,74154.63
345,Luísa Silveira,578.203.169-77,Lopes das Flores,PE,335478.53
346,Alexandre Porto,296.841.057-11,Pacheco,BA,311140.9
347,Ryan Macedo,720.158.694-76,Aragão Verde,AL,329294.61
348,Davi Lucas Teixeira,813.075.249-23,Sousa da Mata,AP,262498.86
349,Sra. Mariana Peixoto,098.623.741-87,das Neves de Goiás,PR,137544.71
350,Heloisa Farias,639.078.425-29,Martins,PE,103917.17
351,Sr. José Miguel Castro,367.281.495-46,Cavalcanti,SC,356313.99
352,Gabriela Costa,127.803.946-50,Fogaça das Flores,AL,288427.33
353,Alícia Casa Grande,146.897.205-76,Câmara Verde,SE,235898.26
354,Srta. Isabelly Monteiro,089.746.351-00,da Rocha da Prata,AL,441882.12
355,Anna Liz da Costa,864.127.350-62,Cassiano das Pedras,SP,117850.3
356,José Nascimento,946.830.125-70,Borges,RR,496556.53
357,Giovanna Teixeira,201.594.867-85,Fogaça do Campo,MS,204201.45
358,Gabriel Cardoso,849.716.502-02,Fonseca,AL,494236.22
359,Cauã da Mota,127.546.398-37,Moura do Norte,MT,451780.31
360,Gabrielly Jesus,294.017.536-52,Almeida,PB,493992.17
361,Maria Isis Pereira,946.075.123-70,Alves,BA,114450.87
362,Isabella da Cunha,518.497.023-14,Peixoto,DF,438077.27
363,Daniel Mendonça,147.952.036-52,Cavalcanti,BA,131160.55
364,Guilherme Cardoso,710.469.528-11,Duarte de Novais,RO,86365.16
365,Erick Moreira,689.137.405-75,Rodrigues,MA,199683.25
366,Vicente Andrade,459.768.310-01,Fogaça,AP,493988.17
367,Luara da Rocha,913.786.245-64,Andrade,RN,191036.33
368,Ágatha Costa,436.189.502-33,Guerra,AP,76106.11
369,Sabrina Garcia,472.350.918-60,Cavalcante,AL,253423.95
370,Sr. Davi Luiz Mendonça,287.319.650-59,Borges de Minas,PB,144222.07
371,Cauê Lopes,862.590.314-24,Rios,TO,398094.02
372,Maria Laura Teixeira,376.852.140-08,Macedo,RN,309325.51
373,Ana da Rocha,239.751.064-25,Novaes Paulista,PE,121295.8
374,Anthony Machado,913.408.765-66,da Cruz,MT,403344.91
375,Heitor Leão,271.048.956-20,Rezende dos Dourados,AC,400888.61
376,Maya Melo,608.954.217-20,Sales,PB,108232.68
377,Ayla Farias,546.237.901-34,Albuquerque dos Dourados,SE,245170.14
378,Enzo Cirino,956.847.013-10,Montenegro de Cirino,MG,243234.38
379,Ravi Lucca Caldeira,902.367.518-59,Carvalho,TO,243061.45
380,Arthur Araújo,536.207.891-77,da Costa,MT,264830.12
381,Ana Beatriz Machado,165.873.049-66,Caldeira,AL,52101.11
382,Ravy Silva,342.089.561-51,Mendonça,ES,290202.17
383,Dr. Oliver Costa,316.059.847-01,Rocha do Norte,AP,378796.58
384,Emanuel da Costa,453.709.812-05,Santos,AL,477530.88
385,Maya Gomes,143.290.876-69,Fogaça,PA,451402.88
386,Laura Cirino,972.480.613-87,Mendonça,RN,390581.48
387,Dom Montenegro,719.462.583-00,Pires de Minas,RJ,288965.2
388,Helena Porto,075.938.416-93,Ribeiro do Oeste,MG,58062.26
